"filename", "language", "C++", "CMake", "YAML", "JSON", "Swift", "Markdown", "XML", "Dart", "PowerShell", "Shell Script", "HTML", "JavaScript", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\scholars_bank_tr.json", "JSON", 0, 0, 0, 962, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 962
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\seasons_bank.json", "JSON", 0, 0, 0, 1022, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1022
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\seasons_bank_tr.json", "JSON", 0, 0, 0, 1022, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1022
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\tasbih_bank.json", "JSON", 0, 0, 0, 1762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1762
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\tasbih_bank_tr.json", "JSON", 0, 0, 0, 1762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1762
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\azkar.json", "JSON", 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 281
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\azkar_tr.json", "JSON", 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 281
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\download_tafsir.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\download_tajweed.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\quran_tr.json", "JSON", 0, 0, 0, 31184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31184
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\starting_meta.json", "JSON", 0, 0, 0, 2201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2202
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\surahs.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\tafseer.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\tafseer_tr.json", "JSON", 0, 0, 0, 6238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6238
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\tajweed.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\tajweed_tr.json", "JSON", 0, 0, 0, 6238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6238
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\translations\ar-SA.json", "JSON", 0, 0, 0, 778, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 779
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\translations\tr-TR.json", "JSON", 0, 0, 0, 769, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 770
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\devtools_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\hifz_feature_report.md", "Markdown", 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 148
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\error\exceptions.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\error\failure.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\error\failures.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\models\reciter_settings.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\models\reciter_settings.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 498, 0, 0, 0, 0, 0, 0, 6, 54, 558
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\presentation\main_layout.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 0, 8, 31, 324
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\presentation\widgets\audio_storage_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 9, 142
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\presentation\widgets\language_switcher.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 2, 9, 129
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\presentation\widgets\reciter_picker_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 10, 168
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\presentation\widgets\sila_app_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\presentation\widgets\sila_bottom_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 1, 13, 163
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\presentation\widgets\sila_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 6, 48
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\presentation\widgets\sila_cta_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\presentation\widgets\update_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 9, 197
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\providers\audio_download_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 18, 168
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\providers\reciter_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 8, 40
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\providers\reciter_provider.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 7, 6, 27
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\adhan_scheduler_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 0, 30, 49, 364
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\analytics_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 24, 162
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\analytics_service.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 7, 6, 26
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\audio_download_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 14, 99
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\isar_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 10, 94
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\location_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 3, 13, 71
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\notification_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 681, 0, 0, 0, 0, 0, 0, 9, 87, 777
