"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\notifications\presentation\widgets\streak_badge.dart", "Dart", 1, 0, 0, 1, 2
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\notifications\presentation\widgets\streak_summary_card.dart", "Dart", 1, 0, 0, 0, 1
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\onboarding\presentation\pages\language_selection_page.dart", "Dart", 146, 0, 8, 17, 171
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\prayers\presentation\pages\adhan_settings_page.dart", "Dart", 5, 0, 0, 0, 5
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\prayers\presentation\pages\prayers_page.dart", "Dart", 7, 0, 1, 0, 8
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\quran\presentation\pages\quran_page.dart", "Dart", 7, 0, 0, 0, 7
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\quran\presentation\pages\surah_detail_page.dart", "Dart", 5, 0, 0, 0, 5
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\quran\presentation\riverpod\quran_data_provider.dart", "Dart", 6, 0, 3, 4, 13
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\quran\presentation\widgets\quran_details_sheet.dart", "Dart", 7, 0, 1, 3, 11
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\sunan_mahjoura\data\sunan_data.dart", "Dart", 4, 0, 1, 2, 7
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\sunan_mahjoura\presentation\pages\sunan_list_page.dart", "Dart", 6, 0, 0, 0, 6
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\tasmi_onboarding_page.dart", "Dart", -1, 0, 0, 0, -1
