Date : 2026-03-24 14:03:59
Directory : c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app
Total : 64 files,  26080 codes, 42 comments, 145 blanks, all 26267 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| JSON     |         12 |     24,526 |          0 |          1 |     24,527 |
| Dart     |         52 |      1,554 |         42 |        144 |      1,740 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| lib\features\wird\presentation\widgets                                                                                                        |          1 |         37 |          0 |          0 |         37 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                      | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\azkar_bank_tr.json                                                          | JSON     |      1,668 |          0 |          0 |      1,668 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\hifz_bank_tr.json                                                           | JSON     |      1,392 |          0 |          0 |      1,392 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\quran_bank_tr.json                                                          | JSON     |      2,469 |          0 |          0 |      2,469 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\salah_bank_tr.json                                                          | JSON     |      1,062 |          0 |          0 |      1,062 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\scholars_bank_tr.json                                                       | JSON     |        962 |          0 |          0 |        962 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\seasons_bank_tr.json                                                        | JSON     |      1,022 |          0 |          0 |      1,022 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\tasbih_bank_tr.json                                                         | JSON     |      1,762 |          0 |          0 |      1,762 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\azkar_tr.json                                                                | JSON     |        280 |          0 |          1 |        281 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\tafseer_tr.json                                                              | JSON     |      6,238 |          0 |          0 |      6,238 |
